date,n,ct
2012-11-09,168,62212
2012-11-10,105,62317
2012-11-11,107,62424
2012-11-12,149,62573
2012-11-13,161,62734
2012-11-14,143,62877
2012-11-15,152,63029
2012-11-16,132,63161
2012-11-17,92,63253
2012-11-18,102,63355
2012-11-19,182,63537
2012-11-20,159,63696
2012-11-21,132,63828
2012-11-22,127,63955
2012-11-23,105,64060
2012-11-24,99,64159
2012-11-25,122,64281
2012-11-26,192,64473
2012-11-27,154,64627
2012-11-28,194,64821
2012-11-29,231,65052
2012-11-30,245,65297
2012-12-01,134,65431
2012-12-02,134,65565
2012-12-03,216,65781
2012-12-04,218,65999
2012-12-05,203,66202
2012-12-06,162,66364
2012-12-07,215,66579
2012-12-08,217,66796
2012-12-09,402,67198
2012-12-10,402,67600
2012-12-11,231,67831
2012-12-12,272,68103
2012-12-13,379,68482
2012-12-14,287,68769
2012-12-15,207,68976
2012-12-16,176,69152
2012-12-17,259,69411
2012-12-18,234,69645
2012-12-19,190,69835
2012-12-20,210,70045
2012-12-21,176,70221
2012-12-22,146,70367
2012-12-23,112,70479
2012-12-24,119,70598
2012-12-25,94,70692
2012-12-26,105,70797
2012-12-27,107,70904
2012-12-28,114,71018
2012-12-29,77,71095
2012-12-30,94,71189
2012-12-31,100,71289
2013-01-01,80,71369
2013-01-02,127,71496
2013-01-03,143,71639
2013-01-04,129,71768
2013-01-05,124,71892
2013-01-06,134,72026
2013-01-07,197,72223
2013-01-08,171,72394
2013-01-09,185,72579
2013-01-10,192,72771
2013-01-11,190,72961
2013-01-12,129,73090
2013-01-13,85,73175
2013-01-14,158,73333
2013-01-15,148,73481
2013-01-16,162,73643
2013-01-17,152,73795
2013-01-18,160,73955
2013-01-19,112,74067
2013-01-20,103,74170
2013-01-21,154,74324
2013-01-22,239,74563
2013-01-23,133,74696
2013-01-24,144,74840
2013-01-25,129,74969
2013-01-26,78,75047
2013-01-27,113,75160
2013-01-28,150,75310
2013-01-29,174,75484
2013-01-30,143,75627
2013-01-31,155,75782
2013-02-01,130,75912
2013-02-02,108,76020
2013-02-03,125,76145
2013-02-04,169,76314
2013-02-05,148,76462
2013-02-06,156,76618
2013-02-07,172,76790
2013-02-08,143,76933
2013-02-09,104,77037
2013-02-10,96,77133
2013-02-11,157,77290
2013-02-12,170,77460
2013-02-13,198,77658
2013-02-14,199,77857
2013-02-15,160,78017
2013-02-16,142,78159
2013-02-17,121,78280
2013-02-18,142,78422
2013-02-19,215,78637
2013-02-20,169,78806
2013-02-21,164,78970
2013-02-22,150,79120
2013-02-23,130,79250
2013-02-24,105,79355
2013-02-25,164,79519
2013-02-26,297,79816
2013-02-27,200,80016
2013-02-28,199,80215
2013-03-01,150,80365
